Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By primary diagnosis,,All diagnoses,By region,Northeast,Visit count,24513936,2990878,18651815,30376058,Yes
2016,By primary diagnosis,,All diagnoses,By region,Northeast,"Visit rate (per 1,000 people)",442,51,341,542,Yes
2016,By primary diagnosis,,All diagnoses,By region,Midwest,Visit count,31428234,3834485,23912643,38943824,Yes
2016,By primary diagnosis,,All diagnoses,By region,Midwest,"Visit rate (per 1,000 people)",469,56,359,580,Yes
2016,By primary diagnosis,,All diagnoses,By region,South,Visit count,53484531,5411939,42877130,64091932,Yes
2016,By primary diagnosis,,All diagnoses,By region,South,"Visit rate (per 1,000 people)",446,44,358,533,Yes
2016,By primary diagnosis,,All diagnoses,By region,West,Visit count,36164508,4939756,26482586,45846431,Yes
2016,By primary diagnosis,,All diagnoses,By region,West,"Visit rate (per 1,000 people)",479,65,352,606,Yes
2016,By primary diagnosis,,All diagnoses,By metropolitan statistical area (MSA),MSA,Visit count,117189337,8453512,100620453,133758221,Yes
2016,By primary diagnosis,,All diagnoses,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",428,30,368,487,Yes
2016,By primary diagnosis,,All diagnoses,By metropolitan statistical area (MSA),Non-MSA,Visit count,28401872,5056723,18490695,38313050,Yes
2016,By primary diagnosis,,All diagnoses,By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",645,115,420,870,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Private insurance,Visit count,36575935,2491568,31692462,41459408,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Private insurance,"Visit rate (per 1,000 people)",211,14,183,238,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Medicare,Visit count,25915772,1848864,22291999,29539544,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Medicare,"Visit rate (per 1,000 people)",494,35,426,563,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Medicaid,Visit count,49425546,3530559,42505651,56345441,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Medicaid,"Visit rate (per 1,000 people)",946,66,816,1076,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Uninsured,Visit count,12474774,1517403,9500664,15448883,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Uninsured,"Visit rate (per 1,000 people)",446,54,340,553,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Other,Visit count,4615217,674988,3292241,5938193,Yes
2016,By primary diagnosis,,All diagnoses,By expected payment source,Other,"Visit rate (per 1,000 people)",389,57,278,501,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,All visits,Visit count,34028107,2207135,29702122,38354092,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,All visits,"Visit rate (per 1,000 people)",107,7,93,121,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Female,Visit count,19851279,1290750,17321409,22381149,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Female,"Visit rate (per 1,000 people)",122,8,107,137,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Male,Visit count,14176828,1004788,12207443,16146213,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Male,"Visit rate (per 1,000 people)",91,6,79,104,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,0-17 years old,Visit count,6486109,691470,5130828,7841390,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,0-17 years old,"Visit rate (per 1,000 people)",88,9,70,107,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,18-44 years old,Visit count,12429447,861114,10741663,14117231,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,18-44 years old,"Visit rate (per 1,000 people)",110,8,95,125,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,45-64 years old,Visit count,8739261,609430,7544779,9933743,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,45-64 years old,"Visit rate (per 1,000 people)",105,7,90,119,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,65+ years old,Visit count,6373290,537396,5319993,7426586,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By age,65+ years old,"Visit rate (per 1,000 people)",133,11,111,155,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic White,Visit count,21222421,1503728,18275113,24169729,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",109,8,94,124,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic Black,Visit count,6331638,633742,5089505,7573772,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",163,16,131,194,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Hispanic,Visit count,5393495,730591,3961536,6825454,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",95,13,70,120,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic other,Visit count,1080552,153947,778817,1382288,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",40,6,29,51,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,Northeast,Visit count,5714747,897076,3956478,7473015,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,Northeast,"Visit rate (per 1,000 people)",103,16,72,134,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,Midwest,Visit count,7230590,896621,5473213,8987967,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,Midwest,"Visit rate (per 1,000 people)",108,13,82,134,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,South,Visit count,11747884,1149875,9494129,14001639,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,South,"Visit rate (per 1,000 people)",98,9,79,116,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,West,Visit count,9334886,1386471,6617403,12052369,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By region,West,"Visit rate (per 1,000 people)",124,18,88,159,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),MSA,Visit count,27927707,2136137,23740879,32114536,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",102,8,87,117,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),Non-MSA,Visit count,6100400,1103865,3936825,8263974,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",139,25,89,188,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,South,"Visit rate (per 1,000 people)",50,6,37,62,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Private insurance,Visit count,8823088,656049,7537233,10108944,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Private insurance,"Visit rate (per 1,000 people)",51,4,44,58,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Medicare,Visit count,7275853,606146,6087806,8463900,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Medicare,"Visit rate (per 1,000 people)",139,11,116,161,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Medicaid,Visit count,11134659,872433,9424691,12844628,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Medicaid,"Visit rate (per 1,000 people)",213,16,181,245,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Uninsured,Visit count,2406885,367457,1686670,3127101,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Uninsured,"Visit rate (per 1,000 people)",86,13,60,112,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Other,Visit count,733697,150813,438104,1029290,Yes
2016,By primary diagnosis,1,"Symptoms, signs, and abnormal clinical and laboratory findings",By expected payment source,Other,"Visit rate (per 1,000 people)",62,13,37,87,Yes
2016,By primary diagnosis,2,Injury and poisoning,Total,All visits,Visit count,29888350,2062826,25845212,33931488,Yes
2016,By primary diagnosis,2,Injury and poisoning,Total,All visits,"Visit rate (per 1,000 people)",94,6,81,107,Yes
2016,By primary diagnosis,2,Injury and poisoning,By sex,Female,Visit count,14393881,1013219,12407971,16379790,Yes
2016,By primary diagnosis,2,Injury and poisoning,By sex,Female,"Visit rate (per 1,000 people)",89,6,76,101,Yes
2016,By primary diagnosis,2,Injury and poisoning,By sex,Male,Visit count,15494470,1149445,13241557,17747383,Yes
2016,By primary diagnosis,2,Injury and poisoning,By sex,Male,"Visit rate (per 1,000 people)",100,7,85,114,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,0-17 years old,Visit count,8446948,798568,6881754,10012141,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,0-17 years old,"Visit rate (per 1,000 people)",115,11,94,136,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,18-44 years old,Visit count,11579691,911969,9792232,13367149,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,18-44 years old,"Visit rate (per 1,000 people)",102,8,87,118,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,45-64 years old,Visit count,5981228,442740,5113457,6848998,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,45-64 years old,"Visit rate (per 1,000 people)",72,5,61,82,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,65+ years old,Visit count,3880484,336792,3220373,4540596,Yes
2016,By primary diagnosis,2,Injury and poisoning,By age,65+ years old,"Visit rate (per 1,000 people)",81,7,67,95,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Non-Hispanic White,Visit count,19544529,1437179,16727658,22361400,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",100,7,86,115,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Non-Hispanic Black,Visit count,5021454,588280,3868426,6174482,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",129,15,100,158,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Hispanic,Visit count,4450905,515905,3439732,5462078,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",78,9,61,96,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Non-Hispanic other,Visit count,871462,172602,533162,1209762,Yes
2016,By primary diagnosis,2,Injury and poisoning,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",32,6,20,44,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,Northeast,Visit count,4728502,614456,3524168,5932835,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,Northeast,"Visit rate (per 1,000 people)",85,11,64,106,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,Midwest,Visit count,6557853,880088,4832880,8282826,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,Midwest,"Visit rate (per 1,000 people)",98,13,72,123,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,South,Visit count,11434659,1384693,8720660,14148658,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,South,"Visit rate (per 1,000 people)",95,11,73,118,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,West,Visit count,7167337,1093507,5024062,9310611,Yes
2016,By primary diagnosis,2,Injury and poisoning,By region,West,"Visit rate (per 1,000 people)",95,14,67,123,Yes
2016,By primary diagnosis,2,Injury and poisoning,By metropolitan statistical area (MSA),MSA,Visit count,23023320,1907833,19283967,26762674,Yes
2016,By primary diagnosis,2,Injury and poisoning,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",84,7,71,97,Yes
2016,By primary diagnosis,2,Injury and poisoning,By metropolitan statistical area (MSA),Non-MSA,Visit count,6865030,1336671,4245155,9484905,Yes
2016,By primary diagnosis,2,Injury and poisoning,By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",156,30,96,215,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Private insurance,Visit count,8610780,669914,7297748,9923812,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Private insurance,"Visit rate (per 1,000 people)",50,4,42,57,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Medicare,Visit count,4061611,344798,3385807,4737415,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Medicare,"Visit rate (per 1,000 people)",77,7,65,90,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Medicaid,Visit count,9014364,718836,7605445,10423284,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Medicaid,"Visit rate (per 1,000 people)",173,14,146,199,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Uninsured,Visit count,2977398,385735,2221358,3733438,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Uninsured,"Visit rate (per 1,000 people)",107,14,80,134,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Other,Visit count,1642977,252631,1147819,2138134,Yes
2016,By primary diagnosis,2,Injury and poisoning,By expected payment source,Other,"Visit rate (per 1,000 people)",139,21,97,180,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,Total,All visits,Visit count,14917826,1231988,12503130,17332522,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,Total,All visits,"Visit rate (per 1,000 people)",47,4,39,55,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By sex,Female,Visit count,8051367,713838,6652245,9450490,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By sex,Female,"Visit rate (per 1,000 people)",50,4,41,58,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By sex,Male,Visit count,6866459,606780,5677170,8055748,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By sex,Male,"Visit rate (per 1,000 people)",44,4,37,52,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,0-17 years old,Visit count,5902953,668104,4593469,7212437,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,0-17 years old,"Visit rate (per 1,000 people)",80,9,62,98,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,18-44 years old,Visit count,4442188,363005,3730699,5153678,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,18-44 years old,"Visit rate (per 1,000 people)",39,3,33,46,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,45-64 years old,Visit count,2670440,266891,2147334,3193546,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,45-64 years old,"Visit rate (per 1,000 people)",32,3,26,38,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,65+ years old,Visit count,1902244,232184,1447163,2357326,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By age,65+ years old,"Visit rate (per 1,000 people)",40,5,30,49,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Non-Hispanic White,Visit count,7738979,661934,6441589,9036369,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",40,3,33,46,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Non-Hispanic Black,Visit count,4069608,477887,3132951,5006266,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",105,12,81,128,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Hispanic,Visit count,2727481,404407,1934843,3520119,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",48,7,34,62,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Non-Hispanic other,Visit count,381758,84038,217044,546472,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",14,3,8,20,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,Northeast,Visit count,2042802,325105,1405596,2680008,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,Northeast,"Visit rate (per 1,000 people)",37,6,26,48,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,Midwest,Visit count,3626989,668100,2317513,4936465,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,Midwest,"Visit rate (per 1,000 people)",54,10,35,74,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,South,Visit count,5966417,762634,4471654,7461179,Yes
2017,By reason for visit,4,Cough,By sex,Male,"Visit rate (per 1,000 people)",14,2,11,18,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,West,Visit count,3281618,619881,2066652,4496585,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By region,West,"Visit rate (per 1,000 people)",43,8,27,59,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By metropolitan statistical area (MSA),MSA,Visit count,11370704,1056389,9300181,13441227,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",42,4,34,49,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By metropolitan statistical area (MSA),Non-MSA,Visit count,3547122,791348,1996079,5098165,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",81,18,45,116,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Private insurance,Visit count,3110501,347477,2429445,3791556,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Private insurance,"Visit rate (per 1,000 people)",18,2,14,22,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Medicare,Visit count,2187295,251181,1694980,2679611,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Medicare,"Visit rate (per 1,000 people)",42,5,32,51,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Medicaid,Visit count,6337871,639628,5084201,7591541,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Medicaid,"Visit rate (per 1,000 people)",121,12,97,145,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Uninsured,Visit count,1113527,174681,771151,1455903,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Uninsured,"Visit rate (per 1,000 people)",40,6,28,52,Yes
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Other,Visit count,,,,,No
2016,By primary diagnosis,3,Diseases of the respiratory system,By expected payment source,Other,"Visit rate (per 1,000 people)",,,,,No
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,Total,All visits,Visit count,10755571,762143,9261771,12249371,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,Total,All visits,"Visit rate (per 1,000 people)",34,2,29,39,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By sex,Female,Visit count,5744365,506948,4750748,6737982,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By sex,Female,"Visit rate (per 1,000 people)",35,3,29,41,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By sex,Male,Visit count,5011206,351840,4321599,5700813,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By sex,Male,"Visit rate (per 1,000 people)",32,2,28,37,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,0-17 years old,Visit count,846756,126477,598860,1094652,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,0-17 years old,"Visit rate (per 1,000 people)",12,2,8,15,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,18-44 years old,Visit count,4305467,355045,3609578,5001355,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,18-44 years old,"Visit rate (per 1,000 people)",38,3,32,44,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,45-64 years old,Visit count,3838237,343135,3165693,4510781,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,45-64 years old,"Visit rate (per 1,000 people)",46,4,38,54,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,65+ years old,Visit count,1765112,158461,1454528,2075695,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By age,65+ years old,"Visit rate (per 1,000 people)",37,3,30,43,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic White,Visit count,6266109,485049,5315413,7216805,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",32,2,27,37,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic Black,Visit count,2534586,328510,1890706,3178466,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",65,8,49,82,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Hispanic,Visit count,1582387,240211,1111574,2053200,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",28,4,20,36,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic other,Visit count,372489,66739,241681,503298,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",14,2,9,18,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,Northeast,Visit count,1701732,236608,1237981,2165483,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,Northeast,"Visit rate (per 1,000 people)",31,4,23,39,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,Midwest,Visit count,2110388,263495,1593937,2626838,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,Midwest,"Visit rate (per 1,000 people)",32,4,24,39,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,South,Visit count,4199131,488397,3241873,5156388,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,South,"Visit rate (per 1,000 people)",35,4,27,43,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,West,Visit count,2744321,464816,1833282,3655359,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By region,West,"Visit rate (per 1,000 people)",36,6,24,48,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),MSA,Visit count,8923450,775806,7402871,10444030,Yes
2016,By primary diagnosis,4,Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",33,3,27,38,Yes
